filepath,label,split
features/mel_dd_2c_coswara/long/lkIyl8ZSqIVKiLcfXF6cez7i4o13_deep.npy,long,train
features/mel_dd_2c_coswara/long/t0wrpS8L5WamJS9NhyjeHAqhaVv1_deep.npy,long,train
features/mel_dd_2c_coswara/long/PlplsT6dnBbbDLRRXiSGU5I8Jls2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200413_aGEXEhp3mbUandZBtCuEooDQrK53_deep.npy,long,train
features/mel_dd_2c_coswara/long/JjncXsOMMaPo5yrlpzWuhYrygFd2_deep.npy,short,train
features/mel_dd_2c_coswara/long/XzIjEtRHHPci6Zq0zb9Lx0d6zEr2_deep.npy,short,train
features/mel_dd_2c_coswara/long/iYM9uJMyO1UoXTo1tc7rXvsI4bm1_deep.npy,short,train
features/mel_dd_2c_coswara/long/FGRDO4IBbAejR0WHD5YbkXTCasg2_deep.npy,short,train
features/mel_dd_2c_coswara/long/tFXAov3QpbTvPL6gzCSwAsTSFT93_deep.npy,short,train
features/mel_dd_2c_coswara/long/3PIiY2eRLVUN4Tba0a8ZN5W6frA3_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_4EAxuOcgN5d81JCmqo2YxXlxYNL2_deep.npy,long,train
features/mel_dd_2c_coswara/long/SopKRSJ4JcY36rGE8X4wRE7vPHl2_deep.npy,long,train
features/mel_dd_2c_coswara/long/aGEXEhp3mbUandZBtCuEooDQrK53_deep.npy,long,train
features/mel_dd_2c_coswara/long/gWIawRTh97MMSACF9Mq9braP8s12_deep.npy,long,train
features/mel_dd_2c_coswara/long/Z5Y8ewskqQWeyIFkqRKuwGz9fCv1_deep.npy,long,train
features/mel_dd_2c_coswara/long/q3DEiVNvlkNAGJq8LoHEb1TVPao1_deep.npy,long,train
features/mel_dd_2c_coswara/long/uSboUuoU77ZRC3vwywgE8XqvzQu1_deep.npy,short,train
features/mel_dd_2c_coswara/long/rJtkSijv5ROjzB6LHN1XCAfe9752_deep.npy,short,train
features/mel_dd_2c_coswara/long/zLM432Aox7ZcmTXoglELTXNAVnf2_deep.npy,short,train
features/mel_dd_2c_coswara/long/20200413_FGRDO4IBbAejR0WHD5YbkXTCasg2_deep.npy,short,train
features/mel_dd_2c_coswara/long/EVWPvD070lhgBsNRXIJ0TsQj3iz2_deep.npy,long,train
features/mel_dd_2c_coswara/long/ypvsQ6trNDhlWTd8A5vXrRCC8mg1_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_PmbK8Rb4ohNWp4KwTtlU8xzxFGs2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_wq5WR6X7egP0MydXWR8nqSpHqq12_deep.npy,long,train
features/mel_dd_2c_coswara/long/LuWrKc4LBRWEfrsF2sCdR7o57m12_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200413_9XJ2QSvS9CaIo5hSyRZcdst0K8P2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200413_htQzROl26OWQpIYFDzv11F79PLR2_deep.npy,short,train
features/mel_dd_2c_coswara/long/8J17ZUDTdXfN5NYwjjp1ANcRqbJ2_deep.npy,long,train
features/mel_dd_2c_coswara/long/jaRfWYxsWjV2L833wIIyuivEWFG3_deep.npy,short,train
features/mel_dd_2c_coswara/long/IxdOYraXjNXf620JP1hexb3YDJ93_deep.npy,short,train
features/mel_dd_2c_coswara/long/9Wkd6QJdpBNEosMpzYhFwZjBJX92_deep.npy,short,train
features/mel_dd_2c_coswara/long/9XJ2QSvS9CaIo5hSyRZcdst0K8P2_deep.npy,long,train
features/mel_dd_2c_coswara/long/htQzROl26OWQpIYFDzv11F79PLR2_deep.npy,short,train
features/mel_dd_2c_coswara/long/20200415_DpU572tPYaXZXMglBud6sRIaq8y2_deep.npy,long,train
features/mel_dd_2c_coswara/long/VmwzvNbtzqbxJBXAwplGb6MMWTj1_deep.npy,short,train
features/mel_dd_2c_coswara/long/fhyliV6PW1aFvwfKLmquREKjECT2_deep.npy,short,train
features/mel_dd_2c_coswara/long/PmbK8Rb4ohNWp4KwTtlU8xzxFGs2_deep.npy,long,train
features/mel_dd_2c_coswara/long/wq5WR6X7egP0MydXWR8nqSpHqq12_deep.npy,long,train
features/mel_dd_2c_coswara/long/8fdUOI5UtkZBCVFXNT1a4hl3rX33_deep.npy,short,train
features/mel_dd_2c_coswara/long/356wSucV0OV6VQMvozjX63pIXrH2_deep.npy,long,train
features/mel_dd_2c_coswara/long/zvXkuEaPb0OEgG4EHx59NqdmamR2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_IxdOYraXjNXf620JP1hexb3YDJ93_deep.npy,short,train
features/mel_dd_2c_coswara/long/mLARvz7XxoODpubk3Q53K562JVf2_deep.npy,long,train
features/mel_dd_2c_coswara/long/5BUKA0nZq1SKXR5iRMDNQ4xKxvi1_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200413_zvXkuEaPb0OEgG4EHx59NqdmamR2_deep.npy,long,train
features/mel_dd_2c_coswara/long/DpU572tPYaXZXMglBud6sRIaq8y2_deep.npy,long,train
features/mel_dd_2c_coswara/long/stnT0xsBXhb159fZrbzN9kwAKvF2_deep.npy,short,train
features/mel_dd_2c_coswara/long/GuL97vIwJgQudwa7mdoEh33JZnr1_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_t0wrpS8L5WamJS9NhyjeHAqhaVv1_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200413_pW9mCAeWYiMoM7wW7riLvNRbYDO2_deep.npy,short,train
features/mel_dd_2c_coswara/long/fVL3e9RKRgN2yNKT0KMNZhbal8R2_deep.npy,long,train
features/mel_dd_2c_coswara/long/DZmX1dGK8KdmY3WYQFuCXrVWuhk2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_3PIiY2eRLVUN4Tba0a8ZN5W6frA3_deep.npy,long,train
features/mel_dd_2c_coswara/long/B6X0O4W1xyP5lMLvMIzc4fGhQSj1_deep.npy,long,train
features/mel_dd_2c_coswara/long/pW9mCAeWYiMoM7wW7riLvNRbYDO2_deep.npy,short,train
features/mel_dd_2c_coswara/long/4EAxuOcgN5d81JCmqo2YxXlxYNL2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_rJtkSijv5ROjzB6LHN1XCAfe9752_deep.npy,short,train
features/mel_dd_2c_coswara/long/97sUfTwVG5Nzd1YEOxbtrXbl4hl2_deep.npy,long,train
features/mel_dd_2c_coswara/long/SQb3JATyGKUZvdfaoVEBhhB2d752_deep.npy,long,train
features/mel_dd_2c_coswara/long/ZkYT8z9lW7N4UfY1L9CqlOs9ouk1_deep.npy,long,train
features/mel_dd_2c_coswara/long/EAj5X2nQbNhAzPOqXj28BgI9Wpp2_deep.npy,long,train
features/mel_dd_2c_coswara/long/DIaVEL0f1kXNG6KXgBMEQ54yirD3_deep.npy,short,train
features/mel_dd_2c_coswara/long/20200413_0zexHIcM7tQDdnFiEj2Eb0v3g212_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200415_ZTlauEp4EjMLV0LKWsxXnRopWvC3_deep.npy,long,train
features/mel_dd_2c_coswara/long/svTIg0ZpdObLgdUfB3x7aehwRHj2_deep.npy,long,train
features/mel_dd_2c_coswara/long/20200413_U7UmNZmqS6OWTiDkM7IfqkDRrae2_deep.npy,short,train
features/mel_dd_2c_coswara/long/20200415_y71bldtMZsh4Qemwyr86rXevPcH2_deep.npy,long,train
features/mel_dd_2c_coswara/long/0zexHIcM7tQDdnFiEj2Eb0v3g212_deep.npy,long,train
features/mel_dd_2c_coswara/long/D2bMfCAvvSPj39z6fMToDFRh2rB3_deep.npy,long,train
features/mel_dd_2c_coswara/long/U7UmNZmqS6OWTiDkM7IfqkDRrae2_deep.npy,short,train
features/mel_dd_2c_coswara/long/XPPJ9BJ5sTQs7BHmMHjD4A0bBlL2_deep.npy,long,train
features/mel_dd_2c_coswara/long/GZM32y1Sy6X9D9hfrrvpTdPfmoV2_deep.npy,long,train
features/mel_dd_2c_coswara/long/t36yqxelXtUEMy6tQJd8Bn1Kr673_deep.npy,short,train
features/mel_dd_2c_coswara/long/Ed1ZsgwOyYcEnpPXOXKPQd1QaS62_deep.npy,long,train
features/mel_dd_2c_coswara/long/4MHkshbYMIYZtzzFwqG7HbWOqrn2_deep.npy,long,train
features/mel_dd_2c_coswara/long/OIGeFP6iMJfFUhNsVZ3NQ6bsorx2_deep.npy,short,train
