filepath,label,split,subject
features/mel_dd_2c_coswara/long/01OCEf1yB4czsq8ygRoT51s96Ba2_deep.npy,long,val,01OCEf1yB4czsq8ygRoT51s96Ba2
features/mel_dd_2c_coswara/long/01n0u9YSkXQSkmN45J65eigyCMC3_deep.npy,long,train,01n0u9YSkXQSkmN45J65eigyCMC3
features/mel_dd_2c_coswara/long/03TmwzsdEBVEh35MRMbC9d0NnfI3_deep.npy,long,train,03TmwzsdEBVEh35MRMbC9d0NnfI3
features/mel_dd_2c_coswara/long/20200415_03TmwzsdEBVEh35MRMbC9d0NnfI3_deep.npy,long,train,03TmwzsdEBVEh35MRMbC9d0NnfI3
features/mel_dd_2c_coswara/short/20200415_03TmwzsdEBVEh35MRMbC9d0NnfI3_shallow.npy,short,train,03TmwzsdEBVEh35MRMbC9d0NnfI3
features/mel_dd_2c_coswara/long/05acPS4aRGfvuOfku11Za8zve8i2_deep.npy,long,train,05acPS4aRGfvuOfku11Za8zve8i2
features/mel_dd_2c_coswara/long/0EAAFsDWfTcrhktHy78LS6nf19G3_deep.npy,long,val,0EAAFsDWfTcrhktHy78LS6nf19G3
features/mel_dd_2c_coswara/long/0HIgO2EhOOW1msCbEw1kC8Qsx6D3_deep.npy,long,train,0HIgO2EhOOW1msCbEw1kC8Qsx6D3
features/mel_dd_2c_coswara/long/0Ha52POVIxTKEPqI1eGpIoMHUd52_deep.npy,long,train,0Ha52POVIxTKEPqI1eGpIoMHUd52
features/mel_dd_2c_coswara/long/0KOy96zEUfdMY4rZzwrDT0gMPDa2_deep.npy,long,train,0KOy96zEUfdMY4rZzwrDT0gMPDa2
features/mel_dd_2c_coswara/long/20200415_0KOy96zEUfdMY4rZzwrDT0gMPDa2_deep.npy,long,train,0KOy96zEUfdMY4rZzwrDT0gMPDa2
features/mel_dd_2c_coswara/short/20200415_0KOy96zEUfdMY4rZzwrDT0gMPDa2_shallow.npy,short,train,0KOy96zEUfdMY4rZzwrDT0gMPDa2
features/mel_dd_2c_coswara/long/0M4YhLM7FwWO5IjCqhi7MlBhvJv2_deep.npy,long,train,0M4YhLM7FwWO5IjCqhi7MlBhvJv2
features/mel_dd_2c_coswara/long/0Rlzhiz6bybk77wdLjxwy7yLDhg1_deep.npy,long,train,0Rlzhiz6bybk77wdLjxwy7yLDhg1
features/mel_dd_2c_coswara/long/20200413_0Rlzhiz6bybk77wdLjxwy7yLDhg1_deep.npy,long,train,0Rlzhiz6bybk77wdLjxwy7yLDhg1
features/mel_dd_2c_coswara/short/20200413_0Rlzhiz6bybk77wdLjxwy7yLDhg1_shallow.npy,short,train,0Rlzhiz6bybk77wdLjxwy7yLDhg1
features/mel_dd_2c_coswara/long/0bcMNFt3dlPlUPTyCO8DVAlbTUC3_deep.npy,long,train,0bcMNFt3dlPlUPTyCO8DVAlbTUC3
features/mel_dd_2c_coswara/long/0c00ybTdnIRUTXeg20bZjJOzhKv1_deep.npy,long,train,0c00ybTdnIRUTXeg20bZjJOzhKv1
features/mel_dd_2c_coswara/long/0gB18cWHioTobGuU3qVE0QV5mBN2_deep.npy,long,val,0gB18cWHioTobGuU3qVE0QV5mBN2
features/mel_dd_2c_coswara/long/20200415_0gB18cWHioTobGuU3qVE0QV5mBN2_deep.npy,long,val,0gB18cWHioTobGuU3qVE0QV5mBN2
features/mel_dd_2c_coswara/short/20200415_0gB18cWHioTobGuU3qVE0QV5mBN2_shallow.npy,short,val,0gB18cWHioTobGuU3qVE0QV5mBN2
features/mel_dd_2c_coswara/long/0pqMnxeSybfQnGV9nHW3P69FSzE3_deep.npy,long,val,0pqMnxeSybfQnGV9nHW3P69FSzE3
features/mel_dd_2c_coswara/long/0xsz0lbpsoVgfojvTNSAjv9dhBq1_deep.npy,long,train,0xsz0lbpsoVgfojvTNSAjv9dhBq1
features/mel_dd_2c_coswara/long/0zUxdfS5aoS6SiEoF1x6JXOk25B3_deep.npy,long,train,0zUxdfS5aoS6SiEoF1x6JXOk25B3
features/mel_dd_2c_coswara/long/0zexHIcM7tQDdnFiEj2Eb0v3g212_deep.npy,long,train,0zexHIcM7tQDdnFiEj2Eb0v3g212
features/mel_dd_2c_coswara/long/20200413_0zexHIcM7tQDdnFiEj2Eb0v3g212_deep.npy,long,train,0zexHIcM7tQDdnFiEj2Eb0v3g212
features/mel_dd_2c_coswara/short/20200413_0zexHIcM7tQDdnFiEj2Eb0v3g212_shallow.npy,short,train,0zexHIcM7tQDdnFiEj2Eb0v3g212
features/mel_dd_2c_coswara/long/19TcpGAeIyeLxS55XA6xxH285uz2_deep.npy,long,train,19TcpGAeIyeLxS55XA6xxH285uz2
features/mel_dd_2c_coswara/long/1AuoEhB8vAfCtxTFFV0W916yBqA3_deep.npy,long,train,1AuoEhB8vAfCtxTFFV0W916yBqA3
features/mel_dd_2c_coswara/long/20200413_1AuoEhB8vAfCtxTFFV0W916yBqA3_deep.npy,long,train,1AuoEhB8vAfCtxTFFV0W916yBqA3
features/mel_dd_2c_coswara/short/20200413_1AuoEhB8vAfCtxTFFV0W916yBqA3_shallow.npy,short,train,1AuoEhB8vAfCtxTFFV0W916yBqA3
features/mel_dd_2c_coswara/long/1BVg9qHEPjhmnnl7CHMSkZRCHiR2_deep.npy,long,train,1BVg9qHEPjhmnnl7CHMSkZRCHiR2
features/mel_dd_2c_coswara/long/1Vm44aluw7PMy2mfETHc3MvwQxx1_deep.npy,long,train,1Vm44aluw7PMy2mfETHc3MvwQxx1
features/mel_dd_2c_coswara/long/20200415_1Vm44aluw7PMy2mfETHc3MvwQxx1_deep.npy,long,train,1Vm44aluw7PMy2mfETHc3MvwQxx1
features/mel_dd_2c_coswara/short/20200415_1Vm44aluw7PMy2mfETHc3MvwQxx1_shallow.npy,short,train,1Vm44aluw7PMy2mfETHc3MvwQxx1
features/mel_dd_2c_coswara/long/1ctsxp37dWNbCbizTioZzpAWqJx2_deep.npy,long,train,1ctsxp37dWNbCbizTioZzpAWqJx2
features/mel_dd_2c_coswara/long/20200413_1ctsxp37dWNbCbizTioZzpAWqJx2_deep.npy,long,train,1ctsxp37dWNbCbizTioZzpAWqJx2
features/mel_dd_2c_coswara/short/20200413_1ctsxp37dWNbCbizTioZzpAWqJx2_shallow.npy,short,train,1ctsxp37dWNbCbizTioZzpAWqJx2
features/mel_dd_2c_coswara/long/1e8i6Q47ewbzrTiKqIeOLEvPv2Z2_deep.npy,long,train,1e8i6Q47ewbzrTiKqIeOLEvPv2Z2
features/mel_dd_2c_coswara/long/1fMS9159tNOgEbgTXBoUpBXQUIr1_deep.npy,long,val,1fMS9159tNOgEbgTXBoUpBXQUIr1
features/mel_dd_2c_coswara/long/1gKYFXop8UQtz5vrzrbVcnjX0Vi1_deep.npy,long,train,1gKYFXop8UQtz5vrzrbVcnjX0Vi1
features/mel_dd_2c_coswara/long/1i0OseJHOsa9Jn9ZfCIXmx5C4y02_deep.npy,long,train,1i0OseJHOsa9Jn9ZfCIXmx5C4y02
features/mel_dd_2c_coswara/long/1j2LqFPOJIQ8nTlovQqNr6bdUMl1_deep.npy,long,val,1j2LqFPOJIQ8nTlovQqNr6bdUMl1
features/mel_dd_2c_coswara/long/20200415_1j2LqFPOJIQ8nTlovQqNr6bdUMl1_deep.npy,long,val,1j2LqFPOJIQ8nTlovQqNr6bdUMl1
features/mel_dd_2c_coswara/short/20200415_1j2LqFPOJIQ8nTlovQqNr6bdUMl1_shallow.npy,short,val,1j2LqFPOJIQ8nTlovQqNr6bdUMl1
features/mel_dd_2c_coswara/long/1kj3twlB9PcVyePxzqNGwnkYZZx2_deep.npy,long,train,1kj3twlB9PcVyePxzqNGwnkYZZx2
features/mel_dd_2c_coswara/long/20200415_1kj3twlB9PcVyePxzqNGwnkYZZx2_deep.npy,long,train,1kj3twlB9PcVyePxzqNGwnkYZZx2
features/mel_dd_2c_coswara/short/20200415_1kj3twlB9PcVyePxzqNGwnkYZZx2_shallow.npy,short,train,1kj3twlB9PcVyePxzqNGwnkYZZx2
features/mel_dd_2c_coswara/long/1oiS7CTfV2NXbNqmYiQ9rs5toFS2_deep.npy,long,train,1oiS7CTfV2NXbNqmYiQ9rs5toFS2
features/mel_dd_2c_coswara/long/1pXSBzMeizcu5IpLAJUaYpmJyhB3_deep.npy,long,train,1pXSBzMeizcu5IpLAJUaYpmJyhB3
features/mel_dd_2c_coswara/long/20200415_1pXSBzMeizcu5IpLAJUaYpmJyhB3_deep.npy,long,train,1pXSBzMeizcu5IpLAJUaYpmJyhB3
